[200~+-------------------------------+------------+---------------------+------------+-------------+----------------+--------+----------+-------------+-----------------+--------+----------------+--------+------------------+-------+
| Trial name                    | status     | loc                 | dataname   | diffusion   |   dropout_prob |   head | if_gat   | if_linear   |   learning_rate |   nhid |   weight_decay |   iter |   total time (s) |   acc |
| training_function_0ad41_00047 | TERMINATED | 172.16.3.10:3816287 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           5e-05 |    128 |         1e-05  |      1 |         133.59   | 0.789 |
| training_function_0ad41_00048 | TERMINATED | 172.16.3.10:3823544 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          64.5834 | 0.785 |
| training_function_0ad41_00049 | TERMINATED | 172.16.3.10:3824780 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          79.7288 | 0.781 |
| training_function_0ad41_00050 | TERMINATED | 172.16.3.10:3829364 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          61.9928 | 0.788 |
| training_function_0ad41_00051 | TERMINATED | 172.16.3.10:3831770 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          81.5555 | 0.785 |
| training_function_0ad41_00052 | TERMINATED | 172.16.3.10:3834146 | Cora       | sym         |            0.5 |      8 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          61.8338 | 0.789 |
| training_function_0ad41_00053 | TERMINATED | 172.16.3.10:3838851 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          81.3208 | 0.779 |
| training_function_0ad41_00054 | TERMINATED | 172.16.3.10:3840567 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          99.8785 | 0.796 |
| training_function_0ad41_00055 | TERMINATED | 172.16.3.10:3845813 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |         124.11   | 0.786 |
| training_function_0ad41_00056 | TERMINATED | 172.16.3.10:3848295 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          99.2915 | 0.793 |
| training_function_0ad41_00057 | TERMINATED | 172.16.3.10:3856283 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |         125.804  | 0.796 |
| training_function_0ad41_00058 | TERMINATED | 172.16.3.10:3856893 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |         100.759  | 0.795 |
| training_function_0ad41_00059 | TERMINATED | 172.16.3.10:3864507 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-05 |    128 |         1e-05  |      1 |          99.6268 | 0.787 |
| training_function_0ad41_00060 | TERMINATED | 172.16.3.10:3865709 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          79.4461 | 0.755 |
| training_function_0ad41_00061 | TERMINATED | 172.16.3.10:3873274 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          81.6233 | 0.76  |
| training_function_0ad41_00062 | TERMINATED | 172.16.3.10:3873865 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          61.8475 | 0.758 |
| training_function_0ad41_00063 | TERMINATED | 172.16.3.10:3878540 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          62.4008 | 0.76  |
| training_function_0ad41_00064 | TERMINATED | 172.16.3.10:3879715 | Cora       | sym         |            0.5 |      8 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          79.6615 | 0.74  |
| training_function_0ad41_00065 | TERMINATED | 172.16.3.10:3884437 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          62.1897 | 0.759 |
| training_function_0ad41_00066 | TERMINATED | 172.16.3.10:3886728 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |         123.932  | 0.785 |
| training_function_0ad41_00067 | TERMINATED | 172.16.3.10:3889125 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |         103.488  | 0.769 |
| training_function_0ad41_00068 | TERMINATED | 172.16.3.10:3896713 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |         127.019  | 0.779 |
| training_function_0ad41_00069 | TERMINATED | 172.16.3.10:3898829 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |         104.731  | 0.774 |
| training_function_0ad41_00070 | TERMINATED | 172.16.3.10:3906496 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |          99.3714 | 0.751 |
| training_function_0ad41_00071 | TERMINATED | 172.16.3.10:3907086 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-06 |    128 |         1e-05  |      1 |         126.866  | 0.778 |
| training_function_0ad41_00072 | TERMINATED | 172.16.3.10:3915161 | Cora       | sym         |            0.2 |      8 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          60.8549 | 0.793 |
| training_function_0ad41_00073 | TERMINATED | 172.16.3.10:3917510 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          78.9093 | 0.79  |
| training_function_0ad41_00074 | TERMINATED | 172.16.3.10:3919876 | Cora       | sym         |            0.1 |      8 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          61.3893 | 0.79  |
| training_function_0ad41_00075 | TERMINATED | 172.16.3.10:3924435 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          86.3962 | 0.791 |
| training_function_0ad41_00076 | TERMINATED | 172.16.3.10:3925791 | Cora       | sym         |            0.5 |      8 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          54.1898 | 0.786 |
| training_function_0ad41_00077 | TERMINATED | 172.16.3.10:3930536 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          53.8878 | 0.796 |
| training_function_0ad41_00078 | TERMINATED | 172.16.3.10:3931718 | Cora       | sym         |            0.2 |     16 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |         133.684  | 0.785 |
| training_function_0ad41_00079 | TERMINATED | 172.16.3.10:3935245 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          89.6382 | 0.78  |
| training_function_0ad41_00080 | TERMINATED | 172.16.3.10:3943727 | Cora       | sym         |            0.1 |     16 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          90.7974 | 0.789 |
| training_function_0ad41_00081 | TERMINATED | 172.16.3.10:3943729 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |         134.777  | 0.781 |
| training_function_0ad41_00082 | TERMINATED | 172.16.3.10:3951926 | Cora       | sym         |            0.5 |     16 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |          88.9646 | 0.795 |
| training_function_0ad41_00083 | TERMINATED | 172.16.3.10:3955774 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           5e-05 |     64 |         0.0001 |      1 |         136.462  | 0.79  |
| training_function_0ad41_00084 | TERMINATED | 172.16.3.10:3960212 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          54.5407 | 0.785 |
| training_function_0ad41_00085 | TERMINATED | 172.16.3.10:3964952 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          54.925  | 0.781 |
| training_function_0ad41_00086 | TERMINATED | 172.16.3.10:3968481 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          88.6686 | 0.788 |
| training_function_0ad41_00087 | TERMINATED | 172.16.3.10:3970839 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          55.5101 | 0.785 |
| training_function_0ad41_00088 | TERMINATED | 172.16.3.10:3975968 | Cora       | sym         |            0.5 |      8 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          54.8623 | 0.789 |
| training_function_0ad41_00089 | TERMINATED | 172.16.3.10:3976003 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          87.2793 | 0.779 |
| training_function_0ad41_00090 | TERMINATED | 172.16.3.10:3981376 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          89.0623 | 0.798 |
| training_function_0ad41_00091 | TERMINATED | 172.16.3.10:3984251 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |         136.844  | 0.788 |
| training_function_0ad41_00092 | TERMINATED | 172.16.3.10:3988950 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          87.6859 | 0.793 |
| training_function_0ad41_00093 | TERMINATED | 172.16.3.10:3995947 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |         136.72   | 0.796 |
| training_function_0ad41_00094 | TERMINATED | 172.16.3.10:3997098 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          89.2645 | 0.795 |
| training_function_0ad41_00095 | TERMINATED | 172.16.3.10:4004055 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-05 |     64 |         0.0001 |      1 |          89.8546 | 0.787 |
| training_function_0ad41_00096 | TERMINATED | 172.16.3.10:4007790 | Cora       | sym         |            0.2 |      8 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          87.6262 | 0.755 |
| training_function_0ad41_00097 | TERMINATED | 172.16.3.10:4013000 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          49.8631 | 0.76  |
| training_function_0ad41_00098 | TERMINATED | 172.16.3.10:4015355 | Cora       | sym         |            0.1 |      8 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          81.2125 | 0.758 |
| training_function_0ad41_00099 | TERMINATED | 172.16.3.10:4016136 | Cora       | randomwalk  |            0.1 |      8 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          61.0911 | 0.76  |
| training_function_0ad41_00100 | TERMINATED | 172.16.3.10:4020796 | Cora       | sym         |            0.5 |      8 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          77.6488 | 0.741 |
| training_function_0ad41_00101 | TERMINATED | 172.16.3.10:4021404 | Cora       | randomwalk  |            0.5 |      8 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          58.9226 | 0.757 |
| training_function_0ad41_00102 | TERMINATED | 172.16.3.10:4027187 | Cora       | sym         |            0.2 |     16 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |         101.088  | 0.785 |
| training_function_0ad41_00103 | TERMINATED | 172.16.3.10:4027804 | Cora       | randomwalk  |            0.2 |     16 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |         130.159  | 0.769 |
| training_function_0ad41_00104 | TERMINATED | 172.16.3.10:4034816 | Cora       | sym         |            0.1 |     16 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          90.6303 | 0.779 |
| training_function_0ad41_00105 | TERMINATED | 172.16.3.10:4038929 | Cora       | randomwalk  |            0.1 |     16 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |         135.394  | 0.774 |
| training_function_0ad41_00106 | TERMINATED | 172.16.3.10:4042692 | Cora       | sym         |            0.5 |     16 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |          98.1826 | 0.751 |
| training_function_0ad41_00107 | TERMINATED | 172.16.3.10:4049027 | Cora       | randomwalk  |            0.5 |     16 | True     | False       |           1e-06 |     64 |         0.0001 |      1 |         133.536  | 0.778 |
| training_function_0ad41_00108 | TERMINATED | 172.16.3.10:4052142 | Cora       | sym         |            0.2 |      8 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          57.9516 | 0.793 |
| training_function_0ad41_00109 | TERMINATED | 172.16.3.10:4057222 | Cora       | randomwalk  |            0.2 |      8 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          54.4512 | 0.79  |
| training_function_0ad41_00110 | TERMINATED | 172.16.3.10:4060830 | Cora       | sym         |            0.1 |      8 | True     | False       |           5e-05 |    128 |         0.0001 |      1 |          82.0537 | 0.79  |
